y_true,y_pred
457.0,119.53371
460.27,118.75196
491.17,117.754234
495.67,116.08284
471.24,115.753914
580.83,114.59264
583.92,116.12566
583.41,115.29325
561.27,113.76391
565.04,113.97793
571.49,112.521645
588.77,111.477264
609.89,110.059425
614.83,108.68269
622.37,107.842735
631.11,108.25411
636.12,107.62058
628.8,107.00232
638.14,106.75811
632.1,106.74296
634.11,106.32232
627.79,106.44876
636.96,107.399445
617.45,106.60476
629.15,106.21185
663.86,106.02302
665.51,105.868774
666.78,106.32288
667.76,107.101105
559.79,107.17109
565.61,106.80432
549.26,106.739204
578.77,106.48908
582.69,106.58247
538.71,107.21107
546.32,107.837395
605.82,109.47776
605.42,109.533195
574.16,109.37409
556.14,110.29917
623.03,111.02683
626.6,110.07932
626.27,109.38204
616.63,109.73054
650.92,111.92712
661.99,110.09176
605.24,107.90101
651.72,106.721725
672.17,106.35861
681.03,103.48861
682.9,105.30126
673.92,106.68876
712.4,106.91448
781.55,106.678825
811.91,107.94793
827.96,106.9031
823.83,106.66101
825.37,106.715775
832.58,107.27917
829.92,108.247055
819.03,107.82908
826.0,107.831154
812.51,109.389534
771.39,108.69799
885.28,109.811295
853.61,112.50805
797.07,114.39154
822.04,114.43798
845.59,114.289444
863.91,113.22884
870.2,113.511635
870.96,113.969185
840.0,115.46149
814.64,115.31461
835.63,116.17301
860.9,116.90383
833.27,117.71922
841.2,116.73459
863.22,117.66201
913.95,118.89454
868.48,118.40925
846.86,117.63013
842.72,119.45712
802.0,116.02155
953.29,114.944145
933.53,117.55419
859.51,115.46655
818.72,120.21066
802.39,119.17134
771.4,116.88763
754.01,115.53814
756.13,114.34582
745.05,115.28025
727.83,115.983765
735.07,113.441734
761.98,113.54029
682.21,115.3266
665.58,115.7505
673.41,114.39642
617.18,114.225334
605.66,115.3598
625.32,115.805855
691.96,117.21235
522.7,115.65793
682.12,118.36869
705.97,118.144875
876.12,114.74263
872.6,116.03657
892.58,119.6801
873.26,115.70722
878.48,117.56375
988.51,114.463905
893.19,112.441315
795.87,114.25645
698.23,114.428154
829.45,117.579124
1045.11,113.270485
1151.17,112.86515
1078.28,117.90906
1043.33,117.744835
955.85,112.96611
1129.43,120.272736
1131.97,116.62469
1031.95,106.55224
1001.96,115.01122
928.1,118.2029
799.11,112.68183
774.25,111.516106
797.82,109.02219
771.44,110.607834
722.43,116.13482
590.83,117.43806
584.61,117.01612
703.56,110.51093
492.11,110.583305
440.22,115.898575
417.95,114.065315
420.2,104.449
407.37,107.33979
360.33,115.2659
342.44,115.02642
326.62,115.6305
339.11,110.04631
338.11,104.02048
296.41,110.414314
262.5,115.01733
245.24,115.19246
229.1,116.15966
215.05,118.32753
206.22,117.76554
206.18,115.294365
204.0,119.6874
199.97,118.48111
204.39,113.853836
198.55,116.147545
196.44,123.14593
177.32,119.76289
186.69,120.57867
198.23,120.29232
213.62,118.48336
193.76,115.28034
182.21,118.686104
174.61,118.10122
172.42,114.41715
155.96,115.18664
146.25,112.30445
142.55,113.767456
145.24,111.09509
140.52,115.63121
138.13,110.02616
135.19,106.44324
130.9,114.49327
130.59,117.56411
130.69,117.71513
126.0,109.57985
126.94,106.1613
129.0,102.112114
128.55,105.150185
129.01,106.08421
123.63,108.22169
114.13,98.70617
132.18,101.31066
133.0,105.46225
137.34,106.49099
134.78,109.32177
133.78,112.53661
128.38,112.78872
128.22,109.50434
127.25,116.41659
125.95,117.84969
129.12,121.03121
127.43,117.153305
127.04,116.849464
129.65,118.12873
131.47,113.96258
131.66,111.23502
131.72,109.294266
130.37,107.7844
129.22,104.38888
134.98,102.02175
133.13,102.15713
135.25,101.58622
125.91,103.32673
127.11,103.17219
121.66,104.74554
124.15,105.85032
119.15,105.988365
126.43,105.33401
126.74,104.748726
136.77,103.74172
135.85,104.86608
138.34,101.57769
135.35,102.997444
133.49,95.57467
122.39,97.763756
122.62,94.52888
126.5,96.3823
120.06,99.95264
122.11,102.97576
120.04,99.847534
118.5,95.678665
121.15,93.11341
123.3,92.64442
121.21,82.07468
119.0,83.51901
113.5,84.9392
113.5,79.13562
108.99,78.86862
109.99,74.6054
112.56,75.32205
109.0,74.748146
106.64,78.54802
105.0,74.21955
103.0,68.35583
102.8,79.76798
103.0,81.76172
106.75,82.82901
106.75,72.472725
106.22,67.80122
105.14,69.318085
104.0,84.48786
104.5,84.766716
104.0,83.34769
106.09,80.1245
107.99,75.579895
101.2,72.83638
99.76,72.81725
94.12,71.322014
96.02,79.38796
96.9,82.685745
94.51,71.249664
95.56,81.80602
91.61,83.552925
90.76,84.54542
89.39,75.71998
92.17,83.39704
90.58,74.75922
98.5,83.62007
97.45,89.53484
98.4,84.48286
94.69,75.14594
98.13,66.859314
93.59,68.60875
88.98,69.30973
86.76,75.59384
76.69,70.61394
76.52,83.80373
74.56,85.71109
70.28,86.034355
68.43,85.57835
80.53,84.47957
77.53,74.46791
90.13,68.48176
88.05,67.81499
96.61,76.13295
94.99,78.52911
94.65,68.62173
101.44,75.493256
104.0,70.700035
103.95,72.47338
102.74,80.98309
107.6,82.36524
108.3,70.417915
109.5,69.778946
110.15,70.54747
108.25,71.223236
107.4,72.3055
101.7,74.938835
99.51,78.04134
99.99,70.18184
99.98,71.46355
104.0,73.50346
108.15,73.629715
108.9,73.74499
106.35,75.355965
100.0,81.43375
108.3,78.574745
111.5,74.39567
118.0,73.13341
121.65,72.743706
121.42,74.68396
122.22,77.17318
122.29,82.97361
129.3,73.88116
129.0,71.76137
128.8,72.68881
132.3,75.21204
129.0,75.01958
129.74,77.098724
133.48,72.48696
131.98,74.487976
133.2,77.1014
126.7,76.434326
123.89,78.04525
122.88,77.31646
122.0,80.62214
121.99,81.300125
123.5,78.56037
123.01,76.050575
118.76,76.893105
114.22,74.44964
111.5,76.43645
117.98,76.534485
115.0,76.95972
115.24,81.97448
117.2,81.799515
112.67,89.0698
113.57,85.016556
111.5,87.187965
112.3,87.379036
115.91,88.65934
112.5,80.82372
97.75,83.409645
105.21,77.51047
116.99,81.14799
139.0,77.47644
144.54,79.93811
134.21,79.528595
0.037405,76.28083
0.037917,75.51029
0.038056,81.161156
0.039587,79.80107
0.040425,79.06247
0.041423,78.16319
0.03919,73.4901
0.039049,72.51376
0.036993,73.38359
0.036048,73.821724
0.035588,74.67039
0.038343,75.153725
0.037148,80.75936
0.038406,81.295654
0.041178,75.70003
0.042542,73.32448
0.043802,72.66581
0.045421,79.79872
0.044172,81.72317
0.043974,83.05332
0.043119,82.564186
0.043492,80.653694
0.043767,72.54448
0.043194,81.545525
0.043958,85.926575
0.042445,83.604965
0.042297,81.236595
0.043637,83.235916
0.044956,71.999374
0.044328,80.9358
0.043236,86.433556
0.04193,79.367134
0.042599,77.9948
0.042345,67.56402
0.041636,68.58253
0.041967,71.49176
0.043444,72.79703
0.042363,77.442314
0.042335,82.07592
0.040547,69.0193
0.041246,68.768715
0.037685,69.96522
0.036409,75.24209
0.038816,79.66305
0.03928,73.95329
0.039529,76.90332
0.039225,82.25519
0.038073,70.5059
0.039524,72.86592
0.038741,72.10364
0.039766,80.18222
0.041789,79.649994
0.041325,71.22942
0.040542,71.35405
0.040623,76.355705
0.041661,83.47948
0.042629,86.777306
0.041441,85.68222
0.041672,77.07626
